category,alcohol (%),rating,price ($)
Red,13,87,16
Red,14.5,87,13
Red,14.1,92,60
Red,11,90,40
Dessert,11,95,55
White,13.1,89,14
Red,14.5,91,45
Port/Sherry,20,89,51
Red,14.1,87,34
Red,13.5,91,24
White,13.8,84,17
Red,13.9,90,68
Red,14.7,85,24
White,14,94,35
Red,13.5,87,30
Red,14.5,83,20
White,14,88,30
Red,15.1,93,75
Red,13.9,84,14
Red,14,89,60
Red,14.5,94,70
White,13.5,87,10
Red,14.8,95,40
Red,14.5,85,17
Red,14.8,85,65
White,14.2,90,15
White,9.5,87,11
Red,13.9,88,19
White,11,88,35
Rose,12,88,22
Red,13,90,15
Red,14.5,91,29
Red,14,88,23
Red,14.8,91,28
Red,13.1,81,12
Dessert,13,95,75
White,13.5,89,30
Red,14.1,86,82
Red,14.2,88,16
Red,13.1,82,32
Rose,12.5,91,19
White,12.5,87,38
White,13,89,18
Red,14.5,91,61
White,12.5,85,10
White,13,87,14
Red,13.5,87,24
Red,14,91,40
White,11.5,86,16
Red,13,91,30
Red,13.5,85,21
Red,14.5,90,19
White,13,83,14
White,13.9,88,15
Red,14.2,91,49
White,12.5,90,21
White,9.5,89,16
White,13,90,15
White,11.5,87,13
Red,15.3,93,80
White,13,94,85
Red,14.8,85,36
Red,14.5,89,50
Red,14.3,88,20
Red,13.5,84,14
White,13.5,91,39
Red,14,90,40
Red,13.5,83,10
White,14.5,84,18
Sparkling,12.5,91,65
Red,15.5,88,60
White,11,92,32
Red,12.5,85,16
Dessert,13.5,89,23
Red,14.1,87,29
Red,15.3,92,36
White,12,84,14
Red,14.7,90,48
White,11.5,89,14
White,13,87,13
Red,14.7,85,25
Red,14.2,89,14
White,12.5,92,48
White,14,85,15
Red,14,88,35
White,13,89,17
Red,15.5,89,60
Red,14.5,89,18
Red,13.5,90,25
Red,14.5,91,50
Red,13.5,86,11
Red,14.5,93,65
Red,13.8,89,32
White,14,87,26
Red,13.5,91,36
White,14.5,92,40
Dessert,10.5,85,10
Rose,11.9,88,20
Red,14.5,87,20
White,13.6,91,15
Red,14.8,85,38
Red,14,91,46
Red,14.5,90,52
Red,15.3,91,34
Rose,10.5,84,15
Red,13.5,83,16
Red,13,88,18
Dessert,8,97,250
White,13,93,26
Red,13.5,89,26
Red,12.5,86,17
White,8.5,89,28
White,13,92,23
White,13.7,93,20
White,13.5,91,30
Red,13.5,90,80
Red,15.5,90,115
Red,13.44,92,39
Red,12.9,85,22
Red,15.3,84,16
Red,13.5,82,19
White,13.5,89,20
White,12.5,87,20
Dessert,10.5,86,22
Red,13,86,16
Red,13.9,92,24
Red,14,90,42
White,11.5,88,14
White,13.1,88,30
Red,14,88,39
Red,13.8,94,75
White,12,84,13
Red,13.3,95,60
White,13.5,85,23
Red,13,94,65
Red,14,90,33
Red,14,85,10
Red,15,86,15
White,13.5,92,40
Red,14,91,55
Port/Sherry,15.5,91,18
Red,13.5,88,14
Red,14.2,91,36
White,13.8,90,23
Red,14.6,92,55
Red,13.5,84,9
Rose,13,90,20
Red,13.5,91,35
Red,14.9,84,35
White,14.1,88,24
Red,14,88,35
Red,14,93,35
Red,13,88,25
Red,13.5,93,45
Red,13.9,90,43
White,13.5,83,14
Red,13.3,92,63
Red,14,90,14
Red,13.5,84,13
Red,13.5,89,20
White,13,85,55
Red,14.3,91,30
Red,13.5,96,80
Red,15.5,91,75
White,14.6,91,42
Red,14.2,88,28
Red,14.6,84,65
Sparkling,12.5,85,22
Red,14.5,90,45
Red,13,89,24
Red,13.5,89,19
White,12.5,91,25
Rose,13.5,92,20
Red,14.5,85,13
White,13.5,91,45
White,13.5,92,65
Red,14.5,88,27
Dessert,12.8,92,46
Red,14,88,19
Red,14.3,88,30
Dessert,13.5,89,19
White,14.1,91,24
Red,13.5,87,12
Rose,12.5,91,20
Red,14,87,18
Red,14.5,85,15
White,12.5,88,12
Red,13.7,91,58
White,12.5,89,15
Dessert,12,87,20
Red,14,93,39
Dessert,13,91,30
White,13.5,88,25
Red,14,87,18
Red,14.5,87,20
White,12.5,88,19
Red,14.2,90,55
White,13,90,24
White,13,91,120
Sparkling,13,92,38
White,13,93,49
Red,13.5,89,39
Rose,13.5,81,8
Red,14,81,15
